key,place,geonames_url,gnd_url,lat,lon,source
https://www.geonames.org/2846523,Rinteln,https://www.geonames.org/2846523,,52.18604,9.07917,bestand
name:Rinteln,Rinteln,https://www.geonames.org/2846523,,52.18604,9.07917,bestand
name:Rom,Rom,https://www.geonames.org/3169070,,41.89193,12.51133,bestand
https://www.geonames.org/3169070,Rom,https://www.geonames.org/3169070,,41.89193,12.51133,bestand
name:Rudolstadt,Rudolstadt,https://www.geonames.org/2843355,,50.72043,11.34046,bestand
https://www.geonames.org/2843355,Rudolstadt,https://www.geonames.org/2843355,,50.72043,11.34046,bestand
name:Saalfeld/Saale,Saalfeld/Saale,https://www.geonames.org/6551284,,50.65165,11.37635,bestand
https://www.geonames.org/6551284,Saalfeld/Saale,https://www.geonames.org/6551284,,50.65165,11.37635,bestand
https://www.geonames.org/2766824,Salzburg,https://www.geonames.org/2766824,,47.79941,13.04399,bestand
name:Salzburg,Salzburg,https://www.geonames.org/2766824,,47.79941,13.04399,bestand
https://www.geonames.org/2658771,Sax,https://www.geonames.org/2658771,,47.23286,9.45768,bestand
name:Sax,Sax,https://www.geonames.org/2658771,,47.23286,9.45768,bestand
https://www.geonames.org/2658761,Schaffhausen,https://www.geonames.org/2658761,,47.69732,8.63493,bestand
name:Schaffhausen,Schaffhausen,https://www.geonames.org/2658761,,47.69732,8.63493,bestand
name:Schlobitten,Schlobitten,https://www.geonames.org/3085553,,54.14351,19.78252,bestand
https://www.geonames.org/3085553,Schlobitten,https://www.geonames.org/3085553,,54.14351,19.78252,bestand
https://www.geonames.org/3099333,Schlodien,https://www.geonames.org/3099333,,54.1562,19.92248,bestand
name:Schlodien,Schlodien,https://www.geonames.org/3099333,,54.1562,19.92248,bestand
name:Schloss Siebeneichen (Meißen),Schloss Siebeneichen (Meißen),,https://d-nb.info/gnd/1147408807,51.14830595,13.480954012394594,bestand
https://d-nb.info/gnd/1147408807,Schloss Siebeneichen (Meißen),,https://d-nb.info/gnd/1147408807,51.14830595,13.480954012394594,bestand
name:Schnepfenthal,Schnepfenthal,,https://d-nb.info/gnd/2113072-3,50.883333,10.566666,bestand
https://d-nb.info/gnd/2113072-3,Schnepfenthal,,https://d-nb.info/gnd/2113072-3,50.883333,10.566666,bestand
